Gene_Symbol	type	file
BCL2L12	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BCL2L2	Oncogene	allOnco_Feb2017.tsv
BCL3	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BCL6	CosmicCensus, Oncogene, TranscriptionFactor	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, addTF_JL.tsv
BCL6B	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv
BCL7A	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BCL7B	Oncogene	allOnco_Feb2017.tsv
BCL9	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BCL9L	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
BCLAF1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
BCOR	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BCORL1	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv
BCR	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BCRP2	Oncogene	allOnco_Feb2017.tsv
BCRP3	Oncogene	allOnco_Feb2017.tsv
BCRP4	Oncogene	allOnco_Feb2017.tsv
BECN1	TumorSuppressorGene	TumorSuppressorGene.txt
BEX2	TumorSuppressorGene	TumorSuppressorGene.txt
BFSP2	Oncogene	allOnco_Feb2017.tsv
BGN	Oncogene	allOnco_Feb2017.tsv
BHLHA15	TranscriptionFactor	addTF_JL.tsv
BHLHA9	TranscriptionFactor	addTF_JL.tsv
BHLHE22	TranscriptionFactor	addTF_JL.tsv
BHLHE23	TranscriptionFactor	addTF_JL.tsv
BHLHE40	TranscriptionFactor	addTF_JL.tsv
BHLHE41	TumorSuppressorGene, Oncogene, TranscriptionFactor	TumorSuppressorGene.txt, allOnco_Feb2017.tsv, addTF_JL.tsv
BICRA	TumorSuppressorGene	TumorSuppressorGene.txt
BID	Oncogene	allOnco_Feb2017.tsv
BIK	TumorSuppressorGene	TumorSuppressorGene.txt
BIKE	Kinase	Kincat_Hsap.08.02.txt
BIN1	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
BIRC2	Oncogene	allOnco_Feb2017.tsv
BIRC3	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BIRC6	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BLCAP	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
BLID	TumorSuppressorGene	TumorSuppressorGene.txt
BLK	Kinase	Kincat_Hsap.08.02.txt, PfamKinase
BLM	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BLNK	TumorSuppressorGene	TumorSuppressorGene.txt
BMAL1	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv
BMAL2	TranscriptionFactor	addTF_JL.tsv
BMF	TumorSuppressorGene	TumorSuppressorGene.txt
BMI1	Oncogene	allOnco_Feb2017.tsv
BMP10	TumorSuppressorGene	TumorSuppressorGene.txt
BMP2	TumorSuppressorGene	TumorSuppressorGene.txt
BMP2K	Kinase	PfamKinase
BMP4	TumorSuppressorGene	TumorSuppressorGene.txt
BMP5	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
BMPR1A	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, PfamKinase
BMPR1Aps1	Kinase	Kincat_Hsap.08.02.txt
BMPR1Aps2	Kinase	Kincat_Hsap.08.02.txt
BMPR1B	Kinase	Kincat_Hsap.08.02.txt, PfamKinase
BMPR2	Kinase, TumorSuppressorGene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, PfamKinase
BMX	Kinase	Kincat_Hsap.08.02.txt, PfamKinase
BNC1	TranscriptionFactor	addTF_JL.tsv
BNC2	TranscriptionFactor	addTF_JL.tsv
BNIP3	Oncogene	allOnco_Feb2017.tsv
BNIP3L	TumorSuppressorGene	TumorSuppressorGene.txt
BOK	Oncogene	allOnco_Feb2017.tsv
BOP1	Oncogene	allOnco_Feb2017.tsv
BORCS8-MEF2B	Oncogene, TranscriptionFactor	allOnco_Feb2017.tsv, addTF_JL.tsv
BPTF	TranscriptionFactor	addTF_JL.tsv
BRAF	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, PfamKinase
BRAFps	Kinase	Kincat_Hsap.08.02.txt
BRAT1	Oncogene	allOnco_Feb2017.tsv
BRCA1	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
