ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
CPNE5	CPNE5	CPNE5	TRUE	NP_065990.1	NP_065990.1
CPNE6	CPNE6	CPNE6	TRUE	NP_006023.1	NP_006023.1
CPNE7	CPNE7	CPNE7	TRUE	NP_055242.1	NP_055242.1
CPNE8	CPNE8	CPNE8	TRUE	NP_705898.1	NP_705898.1
CPNE9	CPNE9	CPNE9	TRUE	NP_705899.2	NP_705899.2
CPOX	CPOX	CPOX	TRUE	NP_000088.3	NP_000088.3
CPPED1	CPPED1	CPPED1	TRUE	NP_060810.2	NP_060810.2
CPQ	CPQ	CPQ	TRUE	NP_057218.1	NP_057218.1
CPS1	CPS1	CPS1	TRUE	NP_001116105.1	NP_001116105.1
CPSF1	CPSF1	CPSF1	TRUE	NP_037423.2	NP_037423.2
CPSF2	CPSF2	CPSF2	TRUE	NP_001309201.1	NP_001309201.1
CPSF3	CPSF3	CPSF3	TRUE	NP_057291.1	NP_057291.1
CPSF4	CPSF4	CPSF4	TRUE	NP_006684.1	NP_006684.1
CPSF6	CPSF6	CPSF6	TRUE	NP_001287876.1	NP_001287876.1
CPSF7	CPSF7	CPSF7	TRUE	NP_001129512.1	NP_079087.3
CPT1A	CPT1A	CPT1A	TRUE	NP_001867.2	NP_001867.2
CPT1C	CPT1C	CPT1C	TRUE	NP_001129524.1	NP_001129524.1
CPT2	CPT2	CPT2	TRUE	NP_000089.1	NP_000089.1
CPTP	CPTP	CPTP	TRUE	NP_001025056.1	NP_001025056.1
CPVL	CPVL	CPVL	TRUE	NP_001334981.1	NP_001334981.1
CPXM1	CPXM1	CPXM1	TRUE	NP_062555.1	NP_062555.1
CRABP1	CRABP1	CRABP1	TRUE	NP_004369.1	NP_004369.1
CRABP2	CRABP2	CRABP2	TRUE	NP_001186652.1	NP_001186652.1
CRADD	CRADD	CRADD	TRUE	NP_001307028.1	NP_001307028.1
CRAT	CRAT	CRAT	TRUE	NP_000746.2	NP_000746.2
CRB2	CRB2	CRB2	TRUE	NP_775960.4	NP_775960.4
CRBN	CRBN	CRBN	TRUE	NP_001166953.1	NP_057386.2
CRCP	CRCP	CRCP	TRUE	NP_055293.1	NP_055293.1
CREB1	CREB1	CREB1	TRUE	NP_604391.1	NP_604391.1
CREB3L4	CREB3L4	CREB3L4	TRUE	NP_001242907.1	NP_001242907.1
CREB5	CREB5	CREB5	TRUE	NP_001011666.1	NP_004895.2
CREBBP	CREBBP	CREBBP	TRUE	NP_004371.2	NP_004371.2
CREBRF	CREBRF	CREBRF	TRUE	NA	NP_705835.2
CREG1	CREG1	CREG1	TRUE	NP_003842.1	NP_003842.1
CRELD1	CRELD1	CRELD1	TRUE	NP_001026887.1	NP_001070883.1
CRELD2	CRELD2	CRELD2	TRUE	NP_001128573.1	NP_001128573.1
CRHBP	CRHBP	CRHBP	TRUE	NP_001873.2	NP_001873.2
CRIM1	CRIM1	CRIM1	TRUE	NP_057525.1	NP_057525.1
CRIP1	CRIP1	CRIP1	TRUE	NP_001302.1	NP_001302.1
CRIP2	CRIP2	CRIP2	TRUE	NP_001303.1	NP_001303.1
